,x,y,sort
101,1.7914746,9.871905,7
102,56.6999,-0.06936614,0
103,-11.402155,23.023705,3
104,-3.4869292,10.198669,9
105,28.732363,8.1378975,1
106,-5.448465,19.256208,9
107,11.042889,-11.040716,7
108,17.013105,6.369014,2
109,-40.087273,6.4368215,6
110,-20.196474,29.870201,5
111,17.16007,15.111731,2
112,-35.936146,-19.990715,6
113,-32.132217,-21.171328,6
114,2.5374901,0.95579904,7
115,54.68614,13.649,0
116,-38.212364,2.3892722,6
117,48.283695,3.2433968,0
118,11.397634,20.64072,1
119,18.871365,18.667946,2
120,-34.60072,5.792797,6
121,20.953773,21.361382,3
122,6.264909,12.161426,9
123,5.4781747,-15.49498,8
124,31.32197,4.6235332,5
125,-10.597481,0.81454337,9
126,-27.48043,-18.083937,6
127,44.89767,-0.96127295,0
128,-31.154676,-14.513043,6
129,-5.260872,15.123165,7
130,-33.86087,20.85391,6
131,27.664896,14.524476,5
132,11.319344,4.4784904,8
133,-9.020174,28.45802,5
134,2.2836657,21.497993,3
135,-8.817047,13.021814,8
136,9.022097,-7.7641153,7
137,0.6281586,-9.853112,9
138,30.156343,-7.8034563,5
139,8.940475,14.639537,9
140,-24.365532,-5.8876834,1
141,-22.17227,-15.378849,4
142,-35.349457,-0.09326877,4
143,-33.76213,2.5011535,4
144,-5.750077,-22.208559,3
145,15.203054,13.0137,2
146,-2.8079987,17.253325,9
147,19.93271,8.261666,2
148,4.025635,-26.650816,4
149,-6.635767,-19.047993,3
150,23.950596,-14.846554,5
151,-10.718351,12.3777275,8
152,-0.56575507,-1.2158517,7
153,22.358274,4.3488793,2
154,-39.585743,-11.667322,6
155,25.976068,-19.950434,1
156,23.612911,-6.8744426,2
157,-3.3573606,-9.657153,8
158,-5.4898567,-4.359958,9
159,-16.633436,4.3859563,1
160,4.113724,-15.13623,8
161,2.9188614,15.823467,3
162,-25.21084,-11.338133,6
163,-4.527092,-0.9653529,8
164,-14.039491,-0.42999014,8
165,-4.716636,-19.821245,3
166,-21.687172,-5.9288473,1
167,19.488733,7.2632685,2
168,-27.345154,13.2727785,4
169,-19.924551,-9.935331,1
170,-22.078934,24.8952,5
171,26.099869,22.433193,2
172,-15.81337,11.410615,9
173,-14.95619,28.701494,1
174,9.949329,1.5881481,7
175,-24.080095,29.041735,5
176,6.0969424,-6.2989445,7
177,0.54434425,-20.344837,8
178,22.432861,-3.0246403,2
179,4.6932483,-20.139406,8
180,-5.638038,-11.818428,3
181,-2.9951155,-23.548712,1
182,11.423324,-24.998268,1
183,-19.441181,20.707325,5
184,61.793278,3.3270164,0
185,7.6439123,-15.190694,8
186,8.463917,-17.636843,8
187,56.152996,12.816508,0
188,21.669886,-23.19693,5
189,23.420315,-14.420154,5
190,-30.701519,22.71191,6
191,-2.8911006,-35.75367,5
192,0.31552252,1.1539842,8
193,-26.690294,23.338316,6
194,47.289543,6.7428374,0
195,9.996676,26.03677,5
196,-40.140484,-16.272009,6
197,28.767006,15.18477,1
198,-16.4892,14.520376,1
199,18.899921,-3.9662323,2
200,0.45971492,-3.2397256,7
201,4.9010615,-31.987677,5
202,15.744638,29.157421,1
203,-41.601368,-2.5310435,6
204,5.214995,6.8292875,7
205,53.006367,-2.8464608,0
206,-12.7415085,-30.279514,4
207,49.883003,13.105489,0
208,49.858696,12.233173,0
209,-20.929914,24.621937,4
210,-1.5301923,24.661858,8
211,-14.551796,-21.963526,4
212,-17.815155,-26.722437,4
213,-31.03822,9.278742,5
214,-37.679775,-22.782187,6
215,1.019477,-28.156437,4
216,-12.122604,8.579653,9
217,15.0916815,27.930723,5
218,17.289377,5.2428155,2
219,-23.908901,-21.510548,6
220,12.735512,-7.8500338,7
221,-18.488562,-11.969613,3
222,-3.5572166,-18.005388,9
223,6.9012604,0.9380043,7
224,17.663929,4.0804124,2
225,10.357047,-1.157852,7
226,-14.846897,-7.064333,1
227,-5.5367084,-25.406586,3
228,51.516926,10.350516,0
229,-25.722712,21.530397,5
230,-34.872925,-4.4237247,5
231,-14.229656,24.331263,3
232,-33.85627,20.360405,6
233,24.56874,-11.690245,2
234,-18.931736,10.108954,1
235,51.328213,-3.7403984,0
236,53.74595,-5.966276,0
237,25.985798,4.4268203,5
238,-18.946138,6.8936625,8
239,-14.039767,-17.393534,7
240,30.239092,-6.8211884,5
241,15.731898,20.274908,5
242,13.668901,9.378911,2
243,-29.746725,-20.533686,6
244,-11.59791,2.6571047,9
245,53.518196,15.046345,0
246,9.2246,-13.998318,7
247,19.141699,-7.556019,2
248,17.942324,17.826925,2
249,50.994026,-6.3287654,0
250,6.1206026,4.382417,7
251,-12.427282,-7.8880696,3
252,-4.497723,0.15667108,9
253,-2.5842936,-5.0774126,5
254,-4.46485,25.87913,8
255,6.102004,0.4204204,7
256,-10.087712,-4.3415246,1
257,-10.904862,1.2248842,9
258,-40.158916,-10.67775,6
259,26.215542,22.84549,2
260,-41.929176,-2.2083611,6
261,-2.8621564,-35.806767,5
262,-1.5009464,-12.055292,1
263,-12.407001,-13.551668,9
264,-3.0299952,-30.342222,8
265,-3.9591851,1.4629341,3
266,-30.551413,-14.052689,6
267,56.60017,3.9629202,0
268,-9.055623,26.788998,1
269,-12.6671505,12.3638,9
270,4.432394,-28.200438,4
271,7.7828,1.3084152,7
272,-29.822502,1.6033416,5
273,29.825977,-1.3904641,5
274,45.254204,-3.744348,0
275,-23.69029,-16.341778,4
276,-13.733965,5.627417,3
277,21.638561,5.969033,2
278,-16.928738,-9.139514,9
279,-7.0452952,5.0245,8
280,30.30847,-10.30149,5
281,-2.1691492,9.594372,9
282,-38.668266,3.4024634,6
283,-0.6455765,10.703019,5
284,-35.41672,-0.3302441,4
285,-37.645393,-16.292618,6
286,51.012444,1.9484215,0
287,18.846014,-9.101135,2
288,-23.81591,-1.0385016,4
289,9.798541,-7.0979333,9
290,-37.666645,6.6997523,6
291,56.928566,-3.0900483,0
292,-11.424232,15.403323,9
293,16.8595,7.7154765,2
294,50.4402,-2.921892,0
295,-34.280766,22.623053,6
296,2.2843854,6.059729,7
297,-7.9987245,-1.5712717,5
298,62.491886,4.2247334,0
299,3.9501987,-4.9276924,8
300,-30.732983,13.48223,4
301,-24.356462,-20.38352,6
302,4.799143,25.363153,1
303,13.564431,-3.8004875,7
