,x,y,sort
69,-9.86983,20.853668,4
70,42.333256,13.523258,0
71,-4.852533,19.249117,8
72,-41.141544,-4.184786,6
73,23.6864,6.8782153,2
74,-6.260009,9.187255,9
75,-15.063918,23.69327,4
76,2.1046674,13.178732,7
77,-1.6815435,0.05853869,9
78,-32.82776,3.0275009,6
79,-5.782588,-22.38342,7
80,-8.079599,-1.5238215,3
81,-34.8341,-16.773441,6
82,14.423218,20.11969,5
83,19.507914,-25.225607,1
84,-24.17886,-5.1481137,1
85,-19.405981,-19.90108,1
86,-23.39103,-32.752934,6
87,20.486465,-2.2188044,2
88,25.498089,-10.172847,1
89,-6.4264245,-33.159504,5
90,-19.745295,-6.504421,1
91,2.9817,9.171248,7
92,-10.068066,19.687294,4
93,-7.787294,-0.12848689,3
94,-9.606455,-5.4131775,3
95,-36.7126,-0.41051453,6
96,52.14103,13.981463,0
97,-17.895056,0.30728826,4
98,51.7361,10.56843,0
99,-25.993948,-9.932687,4
100,7.6544623,16.899792,3
101,0.5117987,10.960366,7
102,46.930702,3.2399092,0
103,-11.150597,-22.628986,3
104,3.918546,16.975595,9
105,29.769342,-13.189728,1
106,5.0080504,-17.386593,9
107,3.602764,7.473831,7
108,21.680817,13.037945,2
109,-34.471825,-8.457257,6
110,13.37427,12.291796,5
111,25.943085,-0.9676654,2
112,-35.585545,-17.039083,6
113,-28.627907,-21.239433,6
114,5.401386,-2.5957577,7
115,55.916473,8.723887,0
116,-32.054607,-5.0202312,6
117,48.07389,12.944422,0
118,17.2413,-24.952766,1
119,22.554724,-3.931443,2
120,-33.262733,7.8714128,6
121,23.062748,-9.627735,3
122,-5.655313,3.9232035,9
123,7.526361,11.994175,8
124,23.05931,-14.371622,5
125,-14.260659,-9.350243,9
126,-39.194225,12.963211,6
127,47.58304,0.7584005,0
128,-35.27999,15.756516,6
129,-4.3187885,15.604521,7
130,-36.31951,3.2663627,6
131,23.316238,19.203249,5
132,7.2632036,-12.076486,8
133,13.788167,19.645208,5
134,-8.698199,-2.3422596,3
135,-14.465453,-5.229688,8
136,0.4376363,8.233966,7
137,-6.6437807,-8.4557295,9
138,3.975496,29.11972,5
139,12.792254,15.960423,9
140,-24.749022,16.737648,1
141,-7.04348,26.885014,4
142,-28.751728,-3.8862062,4
143,-28.103579,19.898937,4
144,-9.409427,10.164868,3
145,23.012434,1.7761179,2
